state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Vermont,2018,8,49,4.5,46370.5
Vermont,2018,9,74,12.0,88160.0
Vermont,2018,10,69,15.25,142786.5
Vermont,2018,11,132,82.25,2142473.75
Vermont,2018,12,46,7.25,49986.25
Virginia,2018,0,6265,139.25,58155219.0
Virginia,2018,1,632,37.25,1488559.0
Virginia,2018,2,244,25.0,409466.75
Virginia,2018,3,641,138.0,22795888.5
Virginia,2018,4,391,97.5,1126315.25
Virginia,2018,5,610,43.75,2444876.5
Virginia,2018,6,647,31.75,1382290.0
Virginia,2018,7,585,27.25,1005910.75
Virginia,2018,8,644,35.0,1219027.0
Virginia,2018,9,606,42.0,1087447.5
Virginia,2018,10,526,139.25,18763706.75
Virginia,2018,11,408,109.25,4054188.5
Virginia,2018,12,331,109.5,2377542.5
Washington,2018,0,1489,54.5,5859552.5
Washington,2018,1,210,30.75,676429.75
Washington,2018,2,103,48.0,1282729.25
Washington,2018,3,83,14.75,188851.0
Washington,2018,4,106,14.0,222286.25
Washington,2018,5,102,9.0,150708.75
Washington,2018,6,137,14.75,305386.5
Washington,2018,7,135,14.0,322801.25
Washington,2018,8,137,54.5,423549.75
Washington,2018,9,91,10.0,273883.0
Washington,2018,10,83,23.25,210063.5
Washington,2018,11,140,21.0,352059.0
Washington,2018,12,162,50.25,1450804.5
West Virginia,2018,0,2943,135.0,10733806.75
West Virginia,2018,1,106,13.5,190920.0
West Virginia,2018,2,175,31.5,403804.75
West Virginia,2018,3,263,89.25,1980863.0
West Virginia,2018,4,208,19.0,462994.0
West Virginia,2018,5,346,39.0,1010460.5
West Virginia,2018,6,335,50.75,686249.25
West Virginia,2018,7,329,47.0,1257699.5
West Virginia,2018,8,273,31.25,843192.25
West Virginia,2018,9,313,31.0,877385.25
